ano,mes,sigla_uf,regiao,id_municipio,municipio,cnae_divisao,ocupacao,faixa_etaria,faixa_remuneracao_media_sm,sexo,idade,raca_cor,grau_instrucao,qtd_vinculos,remuneracao_media,idade_media
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,5,4,Masculino,37,Parda,Superior Completo,1,2497.81,37.0
2024,1,AC,Norte,1200401,Rio Branco,86,Enfermeiro,4,5,Masculino,26,Parda,Superior Completo,1,3227.77,26.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,7,6,Masculino,53,Parda,Superior Completo,1,5450.25,53.0
2024,1,AC,Norte,1200351,Marechal Thaumaturgo,84,Técnico/Auxiliar de Enfermagem,7,5,Feminino,57,Parda,Médio Completo,1,4023.25,57.0
2024,1,AC,Norte,1200401,Rio Branco,86,Técnico/Auxiliar de Enfermagem,7,5,Feminino,57,Branca,Médio Completo,1,4092.25,57.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,5,6,Feminino,30,Parda,Médio Completo,1,4492.94,30.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,6,99,Feminino,42,Parda,Médio Completo,1,0.0,42.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,99,Masculino,37,Não identificada,Médio Completo,1,0.0,37.0
2024,1,AC,Norte,1200401,Rio Branco,87,Técnico/Auxiliar de Enfermagem,6,2,Feminino,44,Parda,Médio Completo,1,1305.81,44.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,5,Feminino,36,Não identificada,Médio Completo,1,3666.0,36.0
2024,1,AC,Norte,1200203,Cruzeiro do Sul,86,Técnico/Auxiliar de Enfermagem,6,5,Masculino,44,Parda,Médio Completo,2,3358.625,44.0
2024,1,AC,Norte,1200401,Rio Branco,84,Técnico/Auxiliar de Enfermagem,5,5,Feminino,34,Não identificada,Médio Completo,1,3533.86,34.0
2024,1,AC,Norte,1200401,Rio Branco,84,Enfermeiro,7,8,Feminino,50,Preta,Superior Completo,2,8040.195,50.0
